"Sub Seller","Sub Seller"
Status,Status
"Status Comment","Comentário do Status"
"Created At","Criado em"
"Updated At","Atualizado em"
"Sub Seller Id on Getnet","Sub Seller Id da Getnet"
Code,Código Interno
"Type Persona","Tipo de pessoa"
Email,Email
"Legal Document Number","Documento Fiscal (CPF/CNPJ)"
"Legal Name","Nome Legal"
"Trade Legal Name","Razão social"
"Founding Date","Founding Date"
"Birth Date","Data de Nascimento"
Street,Rua
"Street Number","Número"
District,Bairro
Complement,Complemento
City,Cidade
State,Estado
Country,País
Postcode,CEP
Telephone,Telefone
"Bank Account","Dados bancários"
"Account Type","Tipo de conta"
Bank,Numero do Banco
Agency,Agência
"Agency Digit","Dígito da Agência"
Account,Conta
"Account Digit","Dígito da Conta"
"Marketplace Settings","Configurações do Marketplace"
"Payment Plan","Id do plano de pagamento"
"Accepted Contract","Aceita o Contrato"
"Marketplace Store","Loja própria do Marketplace"
Occupation,Ocupação
"Monthly Gross Income","Faturamento mensal"
"Gross Equity","Patrimônio bruto"
Addresses,Endereço
"Additional data","Informação Adcional"
"Identification Document","Documento de Identificação"
Gross,Faturamento
"Company Addresses","Endereço da Empresa"
"Legal Data Representative","Representante Legal"
"Legal Representative Document's","Documento do Representante Legal"
"Add New Sub Seller","Adicional novo Sub Seller"
"Pessoa Física","Pessoa Física"
"Pessoa Jurídica","Pessoa Jurídica"
Back,Voltar
Reset,Reiniciar
"Delete Sub Seller","Apagar o Sub Seller"
"Are you sure you want to do this?","Você tem certeza?"
"Save Sub Seller","Salvar o Sub Seller"
Brand,Marca
Product,Produto
"Commission Percentage","Percentual de Comissão"
Add,Add
Getnet,Getnet
SubSeller,SubSeller
"Manage Sub Seller","Gerenciar Sub Seller"
"New Sub Seller","Novo Sub Seller"
"You deleted the sub seller.","Você deletou o sub seller."
"We can't delete this  sub seller because of an incorrect sub seller ID.","Não podemos excluir este sub seller devido a um ID de sub seller incorreto."
"Something went wrong deleting this  sub seller.","Não foi possível deletar o sub seller."
"Edit Sub Seller","Editar Sub Seller"
"Manage Sub Sellers","Gerenciar Sub Sellers"
"Getnet Sub Sellers","Getnet Sub Sellers"
"Sub Seller Code: %1","Sub Seller Código: %1"
"Sub Sellers","Sub Sellers"
"You saved the sub seller.","Você salvou o sub seller."
Checking,Corrente
Saving,Poupança
Unique,Única
Production,Produção
Homolog,Homologação
"Sandbox - Environment for tests","Sandbox - Ambientes para testes"
Pending,Pendente
"Registered, Pending Authorization","Registrado, aguardando autorização"
"Authorized Sub Seller","Autorizado para vendas"
"Not Authorized","Não Autorizado"
"Requires Registration Update","Requer atualização do cadastro"
Finished,Concluído
"Token Refresh Successfully.","Token Regenerado com Sucesso."
"Error saving information in database: %1","Erro ao salvar no banco de dados: %1"
"Refresh Token Error: %1","Erro na geração do token: %1"
"Token update request error: %1","Erro na atualização do token: %1"
"O Sub Seller já possuí id de relacionamento na Getnet","O Sub Seller já possuí id de relacionamento na Getnet"
"Send Sub Seller internal code: %1","Enviando Sub Seller de código: %1"
